Z(2, 2; 3, 3): Max: 4; Mean: 4; Variance: 0; Size: 48; Time: 4.3194 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 3; 3, 3): Max: 6; Mean: 6; Variance: 0; Size: 48; Time: 4.2845 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 4; 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 48; Time: 4.0893 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 5; 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 48; Time: 4.2594 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 6; 3, 3): Max: 12; Mean: 12; Variance: 0; Size: 48; Time: 4.0444 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 7; 3, 3): Max: 14; Mean: 14; Variance: 0; Size: 48; Time: 4.1047 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 8; 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 48; Time: 4.2514 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 9; 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 48; Time: 4.4465 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 10; 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 48; Time: 4.2521 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 11; 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 48; Time: 4.372 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 12; 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 48; Time: 4.4786 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 13; 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 48; Time: 4.715 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 14; 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 48; Time: 4.7363 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 15; 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 48; Time: 4.5821 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 16; 3, 3): Max: 32; Mean: 32; Variance: 0; Size: 48; Time: 4.7937 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 17; 3, 3): Max: 34; Mean: 34; Variance: 0; Size: 48; Time: 5.2637 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 18; 3, 3): Max: 36; Mean: 36; Variance: 0; Size: 48; Time: 4.7633 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 19; 3, 3): Max: 38; Mean: 38; Variance: 0; Size: 48; Time: 4.9122 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 20; 3, 3): Max: 40; Mean: 40; Variance: 0; Size: 48; Time: 5.0969 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 21; 3, 3): Max: 42; Mean: 42; Variance: 0; Size: 48; Time: 5.463 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 22; 3, 3): Max: 44; Mean: 44; Variance: 0; Size: 48; Time: 4.9364 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 23; 3, 3): Max: 46; Mean: 46; Variance: 0; Size: 48; Time: 5.1366 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 24; 3, 3): Max: 48; Mean: 48; Variance: 0; Size: 48; Time: 5.348 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 25; 3, 3): Max: 50; Mean: 50; Variance: 0; Size: 48; Time: 5.8611 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 26; 3, 3): Max: 52; Mean: 52; Variance: 0; Size: 48; Time: 5.1448 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 27; 3, 3): Max: 54; Mean: 54; Variance: 0; Size: 48; Time: 5.3534 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 28; 3, 3): Max: 56; Mean: 56; Variance: 0; Size: 48; Time: 5.6303 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 29; 3, 3): Max: 58; Mean: 58; Variance: 0; Size: 48; Time: 6.0486 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 30; 3, 3): Max: 60; Mean: 60; Variance: 0; Size: 48; Time: 5.4142 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(3, 3; 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 4.6337 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 4; 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 5.278 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
