Z(2, 2; 5, 5): Max: 4; Mean: 4; Variance: 0; Size: 2; Time: 3.6836 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 3; 5, 5): Max: 6; Mean: 6; Variance: 0; Size: 2; Time: 3.3351 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 4; 5, 5): Max: 8; Mean: 8; Variance: 0; Size: 2; Time: 3.5674 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 5; 5, 5): Max: 10; Mean: 10; Variance: 0; Size: 2; Time: 3.5087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 6; 5, 5): Max: 12; Mean: 12; Variance: 0; Size: 2; Time: 3.3801 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 7; 5, 5): Max: 14; Mean: 14; Variance: 0; Size: 2; Time: 3.3559 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 8; 5, 5): Max: 16; Mean: 16; Variance: 0; Size: 2; Time: 3.3608 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 9; 5, 5): Max: 18; Mean: 18; Variance: 0; Size: 2; Time: 3.3943 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 10; 5, 5): Max: 20; Mean: 20; Variance: 0; Size: 2; Time: 3.3765 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 11; 5, 5): Max: 22; Mean: 22; Variance: 0; Size: 2; Time: 3.3818 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 12; 5, 5): Max: 24; Mean: 24; Variance: 0; Size: 2; Time: 3.3806 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 13; 5, 5): Max: 26; Mean: 26; Variance: 0; Size: 2; Time: 3.3993 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 14; 5, 5): Max: 28; Mean: 28; Variance: 0; Size: 2; Time: 3.3572 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 15; 5, 5): Max: 30; Mean: 30; Variance: 0; Size: 2; Time: 3.3836 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 16; 5, 5): Max: 32; Mean: 32; Variance: 0; Size: 2; Time: 3.452 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 17; 5, 5): Max: 34; Mean: 34; Variance: 0; Size: 2; Time: 3.4001 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 18; 5, 5): Max: 36; Mean: 36; Variance: 0; Size: 2; Time: 3.3272 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 19; 5, 5): Max: 38; Mean: 38; Variance: 0; Size: 2; Time: 3.3456 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 20; 5, 5): Max: 40; Mean: 40; Variance: 0; Size: 2; Time: 3.3493 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 21; 5, 5): Max: 42; Mean: 42; Variance: 0; Size: 2; Time: 3.3806 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 22; 5, 5): Max: 44; Mean: 44; Variance: 0; Size: 2; Time: 3.3773 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 23; 5, 5): Max: 46; Mean: 46; Variance: 0; Size: 2; Time: 3.3709 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 24; 5, 5): Max: 48; Mean: 48; Variance: 0; Size: 2; Time: 3.4075 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 25; 5, 5): Max: 50; Mean: 50; Variance: 0; Size: 2; Time: 3.4359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 26; 5, 5): Max: 52; Mean: 52; Variance: 0; Size: 2; Time: 3.3449 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
