Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 160; Time: 6.2545 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 160; Time: 5.7541 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 160; Time: 6.3454 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 160; Time: 8.066 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 160; Time: 7.7238 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 160; Time: 8.4352 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 160; Time: 8.7344 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 160; Time: 11.9479 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 160; Time: 9.9362 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 160; Time: 10.7779 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 160; Time: 12.3654 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 160; Time: 16.5042 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 160; Time: 11.5107 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 160; Time: 13.4436 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 160; Time: 16.6386 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 160; Time: 23.1716 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 160; Time: 14.7767 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 160; Time: 19.4825 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
