Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 160; Time: 4.8385 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 160; Time: 4.5966 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 160; Time: 5.0328 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 160; Time: 5.6265 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 160; Time: 4.9392 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 160; Time: 5.4452 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 160; Time: 6.2345 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 160; Time: 7.7571 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 160; Time: 5.7441 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 160; Time: 6.3334 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 160; Time: 8.0024 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 160; Time: 10.7707 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 160; Time: 6.7924 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 160; Time: 7.5124 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 160; Time: 8.8697 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 160; Time: 12.1933 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 160; Time: 7.4456 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 160; Time: 8.3354 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 160; Time: 10.6414 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 160; Time: 16.3874 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 160; Time: 9.03 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 160; Time: 11.7657 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 160; Time: 15.0484 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 160; Time: 27.77 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 160; Time: 10.6505 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
